series_id,year,reference_date,dimension,category,category_source,value,value_kind,unit,source_file,source_sheet,built_at
foreign_employment,2016,平成28年10月末現在,総数,　全国計,　全国計,172798,事業所数,所,2016_648474.xlsx,（別表２）,2026-09-07T13:45:09Z
foreign_employment,2016,平成28年10月末現在,総数,　全国計,　全国計,16389,うち派遣・請負事業所,所,2016_648474.xlsx,（別表２）,2026-09-07T13:45:09Z
foreign_employment,2016,平成28年10月末現在,総数,　全国計,　全国計,1083769,外国人労働者数,人,2016_648474.xlsx,（別表２）,2026-09-07T13:45:09Z
foreign_employment,2016,平成28年10月末現在,総数,　全国計,　全国計,237542,うち派遣・請負労働者,人,2016_648474.xlsx,（別表２）,2026-09-07T13:45:09Z
foreign_employment,2016,平成28年10月末現在,都道府県,北海道,北海道,3217,事業所数,所,2016_648474.xlsx,（別表２）,2026-09-07T13:45:09Z
foreign_employment,2016,平成28年10月末現在,都道府県,北海道,北海道,130,うち派遣・請負事業所,所,2016_648474.xlsx,（別表２）,2026-09-07T13:45:09Z
foreign_employment,2016,平成28年10月末現在,都道府県,北海道,北海道,15081,外国人労働者数,人,2016_648474.xlsx,（別表２）,2026-09-07T13:45:09Z
foreign_employment,2016,平成28年10月末現在,都道府県,北海道,北海道,635,うち派遣・請負労働者,人,2016_648474.xlsx,（別表２）,2026-09-07T13:45:09Z
foreign_employment,2016,平成28年10月末現在,都道府県,青森,青森,483,事業所数,所,2016_648474.xlsx,（別表２）,2026-09-07T13:45:09Z
foreign_employment,2016,平成28年10月末現在,都道府県,青森,青森,12,うち派遣・請負事業所,所,2016_648474.xlsx,（別表２）,2026-09-07T13:45:09Z
foreign_employment,2016,平成28年10月末現在,都道府県,青森,青森,2141,外国人労働者数,人,2016_648474.xlsx,（別表２）,2026-09-07T13:45:09Z
foreign_employment,2016,平成28年10月末現在,都道府県,青森,青森,17,うち派遣・請負労働者,人,2016_648474.xlsx,（別表２）,2026-09-07T13:45:09Z
foreign_employment,2016,平成28年10月末現在,都道府県,岩手,岩手,664,事業所数,所,2016_648474.xlsx,（別表２）,2026-09-07T13:45:09Z
