series_id,year,age_band,suicide_count,suicide_count_source,population_persons,population_source_age_classes,population_unit_source,population_basis,denominator_scope,rate_per_100k,built_at
npa_suicide_by_age_rate,1995,合計,22445,合計,125570000,総数,千人,確定値・各歳,合計,17.87,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1995,0-19歳,515,～19歳,28599000,0歳+1歳+2歳+3歳+4歳+5歳+6歳+7歳+8歳+9歳+10歳+11歳+12歳+13歳+14歳+15歳+16歳+17歳+18歳+19歳,千人,確定値・各歳,0-19歳,1.80,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1995,20-29歳,2509,20～29歳,18704000,20歳+21歳+22歳+23歳+24歳+25歳+26歳+27歳+28歳+29歳,千人,確定値・各歳,20-29歳,13.41,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1995,30-39歳,2467,30～39歳,15965000,30歳+31歳+32歳+33歳+34歳+35歳+36歳+37歳+38歳+39歳,千人,確定値・各歳,30-39歳,15.45,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1995,40-49歳,3999,40～49歳,19646000,40歳+41歳+42歳+43歳+44歳+45歳+46歳+47歳+48歳+49歳,千人,確定値・各歳,40-49歳,20.36,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1995,50-59歳,5031,50～59歳,16893000,50歳+51歳+52歳+53歳+54歳+55歳+56歳+57歳+58歳+59歳,千人,確定値・各歳,50-59歳,29.78,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1995,60歳以上,7739,60歳～,25761000,60歳+61歳+62歳+63歳+64歳+65歳+66歳+67歳+68歳+69歳+70歳+71歳+72歳+73歳+74歳+75歳+76歳+77歳+78歳+79歳+80歳+81歳+82歳+83歳+84歳+85歳+86歳+87歳+88歳+89歳+90歳以上,千人,確定値・各歳,60歳以上,30.04,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1995,不詳,185,不詳,125570000,総数,千人,確定値・各歳,総人口（年齢不詳のため）,0.15,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1996,合計,23104,合計,125864000,総数,千人,確定値・各歳,合計,18.36,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1996,0-19歳,492,～19歳,27928000,0歳+1歳+2歳+3歳+4歳+5歳+6歳+7歳+8歳+9歳+10歳+11歳+12歳+13歳+14歳+15歳+16歳+17歳+18歳+19歳,千人,確定値・各歳,0-19歳,1.76,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1996,20-29歳,2457,20～29歳,19128000,20歳+21歳+22歳+23歳+24歳+25歳+26歳+27歳+28歳+29歳,千人,確定値・各歳,20-29歳,12.85,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1996,30-39歳,2501,30～39歳,15776000,30歳+31歳+32歳+33歳+34歳+35歳+36歳+37歳+38歳+39歳,千人,確定値・各歳,30-39歳,15.85,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1996,40-49歳,4147,40～49歳,19790000,40歳+41歳+42歳+43歳+44歳+45歳+46歳+47歳+48歳+49歳,千人,確定値・各歳,40-49歳,20.96,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1996,50-59歳,5013,50～59歳,16605000,50歳+51歳+52歳+53歳+54歳+55歳+56歳+57歳+58歳+59歳,千人,確定値・各歳,50-59歳,30.19,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1996,60歳以上,8244,60歳～,26633000,60歳+61歳+62歳+63歳+64歳+65歳+66歳+67歳+68歳+69歳+70歳+71歳+72歳+73歳+74歳+75歳+76歳+77歳+78歳+79歳+80歳+81歳+82歳+83歳+84歳+85歳+86歳+87歳+88歳+89歳+90歳以上,千人,確定値・各歳,60歳以上,30.95,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1996,不詳,250,不詳,125864000,総数,千人,確定値・各歳,総人口（年齢不詳のため）,0.20,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1997,合計,24391,合計,126166000,総数,千人,確定値・各歳,合計,19.33,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1997,0-19歳,469,～19歳,27371000,0歳+1歳+2歳+3歳+4歳+5歳+6歳+7歳+8歳+9歳+10歳+11歳+12歳+13歳+14歳+15歳+16歳+17歳+18歳+19歳,千人,確定値・各歳,0-19歳,1.71,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1997,20-29歳,2534,20～29歳,19082000,20歳+21歳+22歳+23歳+24歳+25歳+26歳+27歳+28歳+29歳,千人,確定値・各歳,20-29歳,13.28,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1997,30-39歳,2767,30～39歳,16075000,30歳+31歳+32歳+33歳+34歳+35歳+36歳+37歳+38歳+39歳,千人,確定値・各歳,30-39歳,17.21,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1997,40-49歳,4200,40～49歳,19008000,40歳+41歳+42歳+43歳+44歳+45歳+46歳+47歳+48歳+49歳,千人,確定値・各歳,40-49歳,22.10,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1997,50-59歳,5422,50～59歳,17174000,50歳+51歳+52歳+53歳+54歳+55歳+56歳+57歳+58歳+59歳,千人,確定値・各歳,50-59歳,31.57,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1997,60歳以上,8747,60歳～,27458000,60歳+61歳+62歳+63歳+64歳+65歳+66歳+67歳+68歳+69歳+70歳+71歳+72歳+73歳+74歳+75歳+76歳+77歳+78歳+79歳+80歳+81歳+82歳+83歳+84歳+85歳+86歳+87歳+88歳+89歳+90歳以上,千人,確定値・各歳,60歳以上,31.86,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1997,不詳,252,不詳,126166000,総数,千人,確定値・各歳,総人口（年齢不詳のため）,0.20,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1998,合計,32863,合計,126486000,総数,千人,確定値・各歳,合計,25.98,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1998,0-19歳,720,～19歳,26867000,0歳+1歳+2歳+3歳+4歳+5歳+6歳+7歳+8歳+9歳+10歳+11歳+12歳+13歳+14歳+15歳+16歳+17歳+18歳+19歳,千人,確定値・各歳,0-19歳,2.68,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1998,20-29歳,3472,20～29歳,18991000,20歳+21歳+22歳+23歳+24歳+25歳+26歳+27歳+28歳+29歳,千人,確定値・各歳,20-29歳,18.28,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1998,30-39歳,3614,30～39歳,16343000,30歳+31歳+32歳+33歳+34歳+35歳+36歳+37歳+38歳+39歳,千人,確定値・各歳,30-39歳,22.11,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1998,40-49歳,5359,40～49歳,18166000,40歳+41歳+42歳+43歳+44歳+45歳+46歳+47歳+48歳+49歳,千人,確定値・各歳,40-49歳,29.50,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1998,50-59歳,7898,50～59歳,17902000,50歳+51歳+52歳+53歳+54歳+55歳+56歳+57歳+58歳+59歳,千人,確定値・各歳,50-59歳,44.12,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1998,60歳以上,11494,60歳～,28222000,60歳+61歳+62歳+63歳+64歳+65歳+66歳+67歳+68歳+69歳+70歳+71歳+72歳+73歳+74歳+75歳+76歳+77歳+78歳+79歳+80歳+81歳+82歳+83歳+84歳+85歳+86歳+87歳+88歳+89歳+90歳以上,千人,確定値・各歳,60歳以上,40.73,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1998,不詳,306,不詳,126486000,総数,千人,確定値・各歳,総人口（年齢不詳のため）,0.24,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1999,合計,33048,合計,126686000,総数,千人,確定値・各歳,合計,26.09,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1999,0-19歳,674,～19歳,26396000,0歳+1歳+2歳+3歳+4歳+5歳+6歳+7歳+8歳+9歳+10歳+11歳+12歳+13歳+14歳+15歳+16歳+17歳+18歳+19歳,千人,確定値・各歳,0-19歳,2.55,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1999,20-29歳,3475,20～29歳,18784000,20歳+21歳+22歳+23歳+24歳+25歳+26歳+27歳+28歳+29歳,千人,確定値・各歳,20-29歳,18.50,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1999,30-39歳,3797,30～39歳,16595000,30歳+31歳+32歳+33歳+34歳+35歳+36歳+37歳+38歳+39歳,千人,確定値・各歳,30-39歳,22.88,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1999,40-49歳,5363,40～49歳,17340000,40歳+41歳+42歳+43歳+44歳+45歳+46歳+47歳+48歳+49歳,千人,確定値・各歳,40-49歳,30.93,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1999,50-59歳,8288,50～59歳,18754000,50歳+51歳+52歳+53歳+54歳+55歳+56歳+57歳+58歳+59歳,千人,確定値・各歳,50-59歳,44.19,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1999,60歳以上,11123,60歳～,28817000,60歳+61歳+62歳+63歳+64歳+65歳+66歳+67歳+68歳+69歳+70歳+71歳+72歳+73歳+74歳+75歳+76歳+77歳+78歳+79歳+80歳+81歳+82歳+83歳+84歳+85歳+86歳+87歳+88歳+89歳+90歳以上,千人,確定値・各歳,60歳以上,38.60,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,1999,不詳,328,不詳,126686000,総数,千人,確定値・各歳,総人口（年齢不詳のため）,0.26,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2000,合計,31957,合計,126926000,総数,千人,確定値・各歳,合計,25.18,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2000,0-19歳,598,～19歳,26007000,0歳+1歳+2歳+3歳+4歳+5歳+6歳+7歳+8歳+9歳+10歳+11歳+12歳+13歳+14歳+15歳+16歳+17歳+18歳+19歳,千人,確定値・各歳,0-19歳,2.30,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2000,20-29歳,3301,20～29歳,18249000,20歳+21歳+22歳+23歳+24歳+25歳+26歳+27歳+28歳+29歳,千人,確定値・各歳,20-29歳,18.09,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2000,30-39歳,3685,30～39歳,16923000,30歳+31歳+32歳+33歳+34歳+35歳+36歳+37歳+38歳+39歳,千人,確定値・各歳,30-39歳,21.78,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2000,40-49歳,4818,40～49歳,16747000,40歳+41歳+42歳+43歳+44歳+45歳+46歳+47歳+48歳+49歳,千人,確定値・各歳,40-49歳,28.77,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2000,50-59歳,8245,50～59歳,19211000,50歳+51歳+52歳+53歳+54歳+55歳+56歳+57歳+58歳+59歳,千人,確定値・各歳,50-59歳,42.92,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2000,60歳以上,10997,60歳～,29793000,60歳+61歳+62歳+63歳+64歳+65歳+66歳+67歳+68歳+69歳+70歳+71歳+72歳+73歳+74歳+75歳+76歳+77歳+78歳+79歳+80歳+81歳+82歳+83歳+84歳+85歳+86歳+87歳+88歳+89歳+90歳以上,千人,確定値・各歳,60歳以上,36.91,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2000,不詳,313,不詳,126926000,総数,千人,確定値・各歳,総人口（年齢不詳のため）,0.25,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2001,合計,31042,合計,127291000,総数,千人,確定値・各歳,合計,24.39,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2001,0-19歳,586,～19歳,25634000,0歳+1歳+2歳+3歳+4歳+5歳+6歳+7歳+8歳+9歳+10歳+11歳+12歳+13歳+14歳+15歳+16歳+17歳+18歳+19歳,千人,確定値・各歳,0-19歳,2.29,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2001,20-29歳,3095,20～29歳,17906000,20歳+21歳+22歳+23歳+24歳+25歳+26歳+27歳+28歳+29歳,千人,確定値・各歳,20-29歳,17.28,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2001,30-39歳,3622,30～39歳,17339000,30歳+31歳+32歳+33歳+34歳+35歳+36歳+37歳+38歳+39歳,千人,確定値・各歳,30-39歳,20.89,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2001,40-49歳,4643,40～49歳,16283000,40歳+41歳+42歳+43歳+44歳+45歳+46歳+47歳+48歳+49歳,千人,確定値・各歳,40-49歳,28.51,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2001,50-59歳,7883,50～59歳,19344000,50歳+51歳+52歳+53歳+54歳+55歳+56歳+57歳+58歳+59歳,千人,確定値・各歳,50-59歳,40.75,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2001,60歳以上,10891,60歳～,30786000,60歳+61歳+62歳+63歳+64歳+65歳+66歳+67歳+68歳+69歳+70歳+71歳+72歳+73歳+74歳+75歳+76歳+77歳+78歳+79歳+80歳+81歳+82歳+83歳+84歳+85歳+86歳+87歳+88歳+89歳+90歳以上,千人,確定値・各歳,60歳以上,35.38,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2001,不詳,322,不詳,127291000,総数,千人,確定値・各歳,総人口（年齢不詳のため）,0.25,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2002,合計,32143,合計,127435000,総数,千人,確定値・各歳,合計,25.22,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2002,0-19歳,502,～19歳,25297000,0歳+1歳+2歳+3歳+4歳+5歳+6歳+7歳+8歳+9歳+10歳+11歳+12歳+13歳+14歳+15歳+16歳+17歳+18歳+19歳,千人,確定値・各歳,0-19歳,1.98,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2002,20-29歳,3018,20～29歳,17442000,20歳+21歳+22歳+23歳+24歳+25歳+26歳+27歳+28歳+29歳,千人,確定値・各歳,20-29歳,17.30,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2002,30-39歳,3935,30～39歳,17753000,30歳+31歳+32歳+33歳+34歳+35歳+36歳+37歳+38歳+39歳,千人,確定値・各歳,30-39歳,22.17,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2002,40-49歳,4813,40～49歳,15946000,40歳+41歳+42歳+43歳+44歳+45歳+46歳+47歳+48歳+49歳,千人,確定値・各歳,40-49歳,30.18,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2002,50-59歳,8462,50～59歳,19265000,50歳+51歳+52歳+53歳+54歳+55歳+56歳+57歳+58歳+59歳,千人,確定値・各歳,50-59歳,43.92,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2002,60歳以上,11119,60歳～,31731000,60歳+61歳+62歳+63歳+64歳+65歳+66歳+67歳+68歳+69歳+70歳+71歳+72歳+73歳+74歳+75歳+76歳+77歳+78歳+79歳+80歳+81歳+82歳+83歳+84歳+85歳+86歳+87歳+88歳+89歳+90歳以上,千人,確定値・各歳,60歳以上,35.04,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2002,不詳,294,不詳,127435000,総数,千人,確定値・各歳,総人口（年齢不詳のため）,0.23,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2003,合計,34427,合計,127619000,総数,千人,確定値・各歳,合計,26.98,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2003,0-19歳,613,～19歳,24903000,0歳+1歳+2歳+3歳+4歳+5歳+6歳+7歳+8歳+9歳+10歳+11歳+12歳+13歳+14歳+15歳+16歳+17歳+18歳+19歳,千人,確定値・各歳,0-19歳,2.46,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2003,20-29歳,3353,20～29歳,16965000,20歳+21歳+22歳+23歳+24歳+25歳+26歳+27歳+28歳+29歳,千人,確定値・各歳,20-29歳,19.76,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2003,30-39歳,4603,30～39歳,18168000,30歳+31歳+32歳+33歳+34歳+35歳+36歳+37歳+38歳+39歳,千人,確定値・各歳,30-39歳,25.34,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2003,40-49歳,5419,40～49歳,15787000,40歳+41歳+42歳+43歳+44歳+45歳+46歳+47歳+48歳+49歳,千人,確定値・各歳,40-49歳,34.33,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2003,50-59歳,8614,50～59歳,19184000,50歳+51歳+52歳+53歳+54歳+55歳+56歳+57歳+58歳+59歳,千人,確定値・各歳,50-59歳,44.90,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2003,60歳以上,11529,60歳～,32614000,60歳+61歳+62歳+63歳+64歳+65歳+66歳+67歳+68歳+69歳+70歳+71歳+72歳+73歳+74歳+75歳+76歳+77歳+78歳+79歳+80歳+81歳+82歳+83歳+84歳+85歳+86歳+87歳+88歳+89歳+90歳以上,千人,確定値・各歳,60歳以上,35.35,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2003,不詳,296,不詳,127619000,総数,千人,確定値・各歳,総人口（年齢不詳のため）,0.23,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2004,合計,32325,合計,127687000,総数,千人,確定値・各歳,合計,25.32,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2004,0-19歳,589,～19歳,24496000,0歳+1歳+2歳+3歳+4歳+5歳+6歳+7歳+8歳+9歳+10歳+11歳+12歳+13歳+14歳+15歳+16歳+17歳+18歳+19歳,千人,確定値・各歳,0-19歳,2.40,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2004,20-29歳,3247,20～29歳,16480000,20歳+21歳+22歳+23歳+24歳+25歳+26歳+27歳+28歳+29歳,千人,確定値・各歳,20-29歳,19.70,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2004,30-39歳,4333,30～39歳,18480000,30歳+31歳+32歳+33歳+34歳+35歳+36歳+37歳+38歳+39歳,千人,確定値・各歳,30-39歳,23.45,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2004,40-49歳,5102,40～49歳,15763000,40歳+41歳+42歳+43歳+44歳+45歳+46歳+47歳+48歳+49歳,千人,確定値・各歳,40-49歳,32.37,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2004,50-59歳,7772,50～59歳,18940000,50歳+51歳+52歳+53歳+54歳+55歳+56歳+57歳+58歳+59歳,千人,確定値・各歳,50-59歳,41.03,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2004,60歳以上,10994,60歳～,33530000,60歳+61歳+62歳+63歳+64歳+65歳+66歳+67歳+68歳+69歳+70歳+71歳+72歳+73歳+74歳+75歳+76歳+77歳+78歳+79歳+80歳+81歳+82歳+83歳+84歳+85歳+86歳+87歳+88歳+89歳+90歳以上,千人,確定値・各歳,60歳以上,32.79,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2004,不詳,288,不詳,127687000,総数,千人,確定値・各歳,総人口（年齢不詳のため）,0.23,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2005,合計,32552,合計,127768000,総数,千人,確定値・各歳,合計,25.48,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2005,0-19歳,608,～19歳,24178000,0歳+1歳+2歳+3歳+4歳+5歳+6歳+7歳+8歳+9歳+10歳+11歳+12歳+13歳+14歳+15歳+16歳+17歳+18歳+19歳,千人,確定値・各歳,0-19歳,2.51,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2005,20-29歳,3409,20～29歳,15696000,20歳+21歳+22歳+23歳+24歳+25歳+26歳+27歳+28歳+29歳,千人,確定値・各歳,20-29歳,21.72,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2005,30-39歳,4606,30～39歳,18567000,30歳+31歳+32歳+33歳+34歳+35歳+36歳+37歳+38歳+39歳,千人,確定値・各歳,30-39歳,24.81,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2005,40-49歳,5208,40～49歳,15866000,40歳+41歳+42歳+43歳+44歳+45歳+46歳+47歳+48歳+49歳,千人,確定値・各歳,40-49歳,32.82,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2005,50-59歳,7586,50～59歳,19122000,50歳+51歳+52歳+53歳+54歳+55歳+56歳+57歳+58歳+59歳,千人,確定値・各歳,50-59歳,39.67,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2005,60歳以上,10894,60歳～,34337000,60歳+61歳+62歳+63歳+64歳+65歳+66歳+67歳+68歳+69歳+70歳+71歳+72歳+73歳+74歳+75歳+76歳+77歳+78歳+79歳+80歳+81歳+82歳+83歳+84歳+85歳+86歳+87歳+88歳+89歳+90歳+91歳+92歳+93歳+94歳+95歳+96歳+97歳+98歳+99歳+100歳以上,千人,確定値・各歳,60歳以上,31.73,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2005,不詳,241,不詳,127768000,総数,千人,確定値・各歳,総人口（年齢不詳のため）,0.19,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2006,合計,32155,合計,127770000,総数,千人,確定値・各歳,合計,25.17,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2006,0-19歳,623,～19歳,23859000,0歳+1歳+2歳+3歳+4歳+5歳+6歳+7歳+8歳+9歳+10歳+11歳+12歳+13歳+14歳+15歳+16歳+17歳+18歳+19歳,千人,確定値・各歳,0-19歳,2.61,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2006,20-29歳,3395,20～29歳,15326000,20歳+21歳+22歳+23歳+24歳+25歳+26歳+27歳+28歳+29歳,千人,確定値・各歳,20-29歳,22.15,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2006,30-39歳,4497,30～39歳,18917000,30歳+31歳+32歳+33歳+34歳+35歳+36歳+37歳+38歳+39歳,千人,確定値・各歳,30-39歳,23.77,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2006,40-49歳,5008,40～49歳,15676000,40歳+41歳+42歳+43歳+44歳+45歳+46歳+47歳+48歳+49歳,千人,確定値・各歳,40-49歳,31.95,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2006,50-59歳,7246,50～59歳,19244000,50歳+51歳+52歳+53歳+54歳+55歳+56歳+57歳+58歳+59歳,千人,確定値・各歳,50-59歳,37.65,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2006,60歳以上,11120,60歳～,34744000,60歳+61歳+62歳+63歳+64歳+65歳+66歳+67歳+68歳+69歳+70歳+71歳+72歳+73歳+74歳+75歳+76歳+77歳+78歳+79歳+80歳+81歳+82歳+83歳+84歳+85歳+86歳+87歳+88歳+89歳+90歳+91歳+92歳+93歳+94歳+95歳+96歳+97歳+98歳+99歳+100歳以上,千人,確定値・各歳,60歳以上,32.01,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2006,不詳,266,不詳,127770000,総数,千人,確定値・各歳,総人口（年齢不詳のため）,0.21,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2007,合計,33093,合計,127771000,総数,千人,確定値・各歳,合計,25.90,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2007,0-19歳,548,～19歳,23574000,0歳+1歳+2歳+3歳+4歳+5歳+6歳+7歳+8歳+9歳+10歳+11歳+12歳+13歳+14歳+15歳+16歳+17歳+18歳+19歳,千人,確定値・各歳,0-19歳,2.32,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2007,20-29歳,3309,20～29歳,15033000,20歳+21歳+22歳+23歳+24歳+25歳+26歳+27歳+28歳+29歳,千人,確定値・各歳,20-29歳,22.01,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2007,30-39歳,4767,30～39歳,18790000,30歳+31歳+32歳+33歳+34歳+35歳+36歳+37歳+38歳+39歳,千人,確定値・各歳,30-39歳,25.37,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2007,40-49歳,5096,40～49歳,15954000,40歳+41歳+42歳+43歳+44歳+45歳+46歳+47歳+48歳+49歳,千人,確定値・各歳,40-49歳,31.94,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2007,50-59歳,7046,50～59歳,18485000,50歳+51歳+52歳+53歳+54歳+55歳+56歳+57歳+58歳+59歳,千人,確定値・各歳,50-59歳,38.12,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2007,60歳以上,12107,60～69歳+70～79歳+80歳～,35937000,60歳+61歳+62歳+63歳+64歳+65歳+66歳+67歳+68歳+69歳+70歳+71歳+72歳+73歳+74歳+75歳+76歳+77歳+78歳+79歳+80歳+81歳+82歳+83歳+84歳+85歳+86歳+87歳+88歳+89歳+90歳+91歳+92歳+93歳+94歳+95歳+96歳+97歳+98歳+99歳+100歳以上,千人,確定値・各歳,60歳以上,33.69,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2007,不詳,220,不詳,127771000,総数,千人,確定値・各歳,総人口（年齢不詳のため）,0.17,2026-09-07T17:11:17+00:00
npa_suicide_by_age_rate,2008,合計,32249,合計,127692000,総数,千人,確定値・各歳,合計,25.26,2026-09-07T17:11:17+00:00
