series_id,year,sex,age_band,suicide_count,suicide_count_source_age_classes,suicide_count_zero_filled_source_age_classes,population_persons,population_source_age_classes,population_unit_source,population_basis,denominator_scope,rate_per_100k,population_definition,built_at
vital_suicide_by_age_sex_rate,1950,男,合計,9820,総数,,,,,,分母なし（1995年より前）,,人口動態統計（日本における日本人）,2026-09-07T18:03:19+00:00
vital_suicide_by_age_sex_rate,1950,男,0-19歳,757,0～4歳+5～9歳+10～14歳+15～19歳,0～4歳+5～9歳+10～14歳,,,,,分母なし（1995年より前）,,人口動態統計（日本における日本人）,2026-09-07T18:03:19+00:00
vital_suicide_by_age_sex_rate,1950,男,20-29歳,2738,20～24歳+25～29歳,,,,,,分母なし（1995年より前）,,人口動態統計（日本における日本人）,2026-09-07T18:03:19+00:00
vital_suicide_by_age_sex_rate,1950,男,30-39歳,1109,30～34歳+35～39歳,,,,,,分母なし（1995年より前）,,人口動態統計（日本における日本人）,2026-09-07T18:03:19+00:00
vital_suicide_by_age_sex_rate,1950,男,40-49歳,1190,40～44歳+45～49歳,,,,,,分母なし（1995年より前）,,人口動態統計（日本における日本人）,2026-09-07T18:03:19+00:00
vital_suicide_by_age_sex_rate,1950,男,50-59歳,1456,50～54歳+55～59歳,,,,,,分母なし（1995年より前）,,人口動態統計（日本における日本人）,2026-09-07T18:03:19+00:00
vital_suicide_by_age_sex_rate,1950,男,60歳以上,2491,60～64歳+65～69歳+70～74歳+75～79歳+80～84歳+85～89歳+90～94歳+95～99歳+100歳以上,100歳以上,,,,,分母なし（1995年より前）,,人口動態統計（日本における日本人）,2026-09-07T18:03:19+00:00
vital_suicide_by_age_sex_rate,1950,男,不詳,79,不詳,,,,,,分母なし（1995年より前）,,人口動態統計（日本における日本人）,2026-09-07T18:03:19+00:00
vital_suicide_by_age_sex_rate,1950,女,合計,6491,総数,,,,,,分母なし（1995年より前）,,人口動態統計（日本における日本人）,2026-09-07T18:03:19+00:00
vital_suicide_by_age_sex_rate,1950,女,0-19歳,555,0～4歳+5～9歳+10～14歳+15～19歳,0～4歳+5～9歳,,,,,分母なし（1995年より前）,,人口動態統計（日本における日本人）,2026-09-07T18:03:19+00:00
vital_suicide_by_age_sex_rate,1950,女,20-29歳,1715,20～24歳+25～29歳,,,,,,分母なし（1995年より前）,,人口動態統計（日本における日本人）,2026-09-07T18:03:19+00:00
