series_id,year,age_band,suicide_count,suicide_count_source,population_persons,population_unit_source,population_basis,rate_per_100k,built_at
youth_suicide_rate_0_19,1995,0-19歳,515,～19歳,28599000,千人,確定値・各歳,1.80,2026-09-07T11:33:12+00:00
youth_suicide_rate_0_19,1996,0-19歳,492,～19歳,27928000,千人,確定値・各歳,1.76,2026-09-07T11:33:12+00:00
youth_suicide_rate_0_19,1997,0-19歳,469,～19歳,27371000,千人,確定値・各歳,1.71,2026-09-07T11:33:12+00:00
youth_suicide_rate_0_19,1998,0-19歳,720,～19歳,26867000,千人,確定値・各歳,2.68,2026-09-07T11:33:12+00:00
youth_suicide_rate_0_19,1999,0-19歳,674,～19歳,26396000,千人,確定値・各歳,2.55,2026-09-07T11:33:12+00:00
youth_suicide_rate_0_19,2000,0-19歳,598,～19歳,26007000,千人,確定値・各歳,2.30,2026-09-07T11:33:12+00:00
youth_suicide_rate_0_19,2001,0-19歳,586,～19歳,25634000,千人,確定値・各歳,2.29,2026-09-07T11:33:12+00:00
youth_suicide_rate_0_19,2002,0-19歳,502,～19歳,25297000,千人,確定値・各歳,1.98,2026-09-07T11:33:12+00:00
youth_suicide_rate_0_19,2003,0-19歳,613,～19歳,24903000,千人,確定値・各歳,2.46,2026-09-07T11:33:12+00:00
youth_suicide_rate_0_19,2004,0-19歳,589,～19歳,24496000,千人,確定値・各歳,2.40,2026-09-07T11:33:12+00:00
youth_suicide_rate_0_19,2005,0-19歳,608,～19歳,24178000,千人,確定値・各歳,2.51,2026-09-07T11:33:12+00:00
youth_suicide_rate_0_19,2006,0-19歳,623,～19歳,23859000,千人,確定値・各歳,2.61,2026-09-07T11:33:12+00:00
youth_suicide_rate_0_19,2007,0-19歳,548,～19歳,23574000,千人,確定値・各歳,2.32,2026-09-07T11:33:12+00:00
youth_suicide_rate_0_19,2008,0-19歳,611,～19歳,23331000,千人,確定値・各歳,2.62,2026-09-07T11:33:12+00:00
youth_suicide_rate_0_19,2009,0-19歳,565,～９歳+10～19歳,23088000,千人,確定値・各歳,2.45,2026-09-07T11:33:12+00:00
youth_suicide_rate_0_19,2010,0-19歳,552,～９歳+10～19歳,22933000,千人,確定値・各歳,2.41,2026-09-07T11:33:12+00:00
youth_suicide_rate_0_19,2011,0-19歳,622,～９歳+10～19歳,22779000,千人,確定値・各歳,2.73,2026-09-07T11:33:12+00:00
youth_suicide_rate_0_19,2012,0-19歳,587,～９歳+10～19歳,22596000,千人,確定値・各歳,2.60,2026-09-07T11:33:12+00:00
youth_suicide_rate_0_19,2013,0-19歳,547,～９歳+10～19歳,22436000,千人,確定値・各歳,2.44,2026-09-07T11:33:12+00:00
youth_suicide_rate_0_19,2014,0-19歳,538,～９歳+10～19歳,22239000,千人,確定値・各歳,2.42,2026-09-07T11:33:12+00:00
youth_suicide_rate_0_19,2015,0-19歳,554,～９歳+10～19歳,22001000,千人,確定値・各歳,2.52,2026-09-07T11:33:12+00:00
youth_suicide_rate_0_19,2016,0-19歳,520,～９歳+10～19歳,21820000,千人,確定値・各歳,2.38,2026-09-07T11:33:12+00:00
youth_suicide_rate_0_19,2017,0-19歳,567,～９歳+10～19歳,21587000,千人,確定値・各歳,2.63,2026-09-07T11:33:12+00:00
youth_suicide_rate_0_19,2018,0-19歳,599,～９歳+10～19歳,21324000,千人,確定値・各歳,2.81,2026-09-07T11:33:12+00:00
youth_suicide_rate_0_19,2019,0-19歳,659,～９歳+10～19歳,21030000,千人,確定値・各歳,3.13,2026-09-07T11:33:12+00:00
youth_suicide_rate_0_19,2020,0-19歳,777,～９歳+10～19歳,20739000,千人,確定値・各歳,3.75,2026-09-07T11:33:12+00:00
youth_suicide_rate_0_19,2021,0-19歳,750,～９歳+10～19歳,20364000,千人,確定値・各歳,3.68,2026-09-07T11:33:12+00:00
youth_suicide_rate_0_19,2022,0-19歳,798,～９歳+10～19歳,20014000,千人,確定値・各歳,3.99,2026-09-07T11:33:12+00:00
youth_suicide_rate_0_19,2023,0-19歳,810,～９歳+10～19歳,19669000,千人,確定値・各歳,4.12,2026-09-07T11:33:12+00:00
youth_suicide_rate_0_19,2024,0-19歳,800,～９歳+10～19歳,19288000,千人,確定値・各歳,4.15,2026-09-07T11:33:12+00:00
youth_suicide_rate_0_19,2025,0-19歳,830,～９歳+10～19歳,18950000,万人,概算値・5歳階級,4.38,2026-09-07T11:33:12+00:00
