series_id,stats_data_id,reference_date,source_population_definition,unit,year,sex,age,category,subcategory,value,flag,retrieved_at
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,総数,表章項目=人口,人口=総人口; 男女別=男女計; 概算値=概算値; 全国=全国,12321,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,0～4歳,表章項目=人口,人口=総人口; 男女別=男女計; 概算値=概算値; 全国=全国,380,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,5～9歳,表章項目=人口,人口=総人口; 男女別=男女計; 概算値=概算値; 全国=全国,455,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,10～14歳,表章項目=人口,人口=総人口; 男女別=男女計; 概算値=概算値; 全国=全国,513,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,15～19歳,表章項目=人口,人口=総人口; 男女別=男女計; 概算値=概算値; 全国=全国,547,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,20～24歳,表章項目=人口,人口=総人口; 男女別=男女計; 概算値=概算値; 全国=全国,622,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,25～29歳,表章項目=人口,人口=総人口; 男女別=男女計; 概算値=概算値; 全国=全国,656,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,30～34歳,表章項目=人口,人口=総人口; 男女別=男女計; 概算値=概算値; 全国=全国,644,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,35～39歳,表章項目=人口,人口=総人口; 男女別=男女計; 概算値=概算値; 全国=全国,672,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,40～44歳,表章項目=人口,人口=総人口; 男女別=男女計; 概算値=概算値; 全国=全国,749,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,45～49歳,表章項目=人口,人口=総人口; 男女別=男女計; 概算値=概算値; 全国=全国,845,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,50～54歳,表章項目=人口,人口=総人口; 男女別=男女計; 概算値=概算値; 全国=全国,979,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,55～59歳,表章項目=人口,人口=総人口; 男女別=男女計; 概算値=概算値; 全国=全国,862,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,60～64歳,表章項目=人口,人口=総人口; 男女別=男女計; 概算値=概算値; 全国=全国,777,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,65～69歳,表章項目=人口,人口=総人口; 男女別=男女計; 概算値=概算値; 全国=全国,718,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,70～74歳,表章項目=人口,人口=総人口; 男女別=男女計; 概算値=概算値; 全国=全国,776,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,75～79歳,表章項目=人口,人口=総人口; 男女別=男女計; 概算値=概算値; 全国=全国,837,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,80～84歳,表章項目=人口,人口=総人口; 男女別=男女計; 概算値=概算値; 全国=全国,598,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,85～89歳,表章項目=人口,人口=総人口; 男女別=男女計; 概算値=概算値; 全国=全国,400,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,90～94歳,表章項目=人口,人口=総人口; 男女別=男女計; 概算値=概算値; 全国=全国,215,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,95～99歳,表章項目=人口,人口=総人口; 男女別=男女計; 概算値=概算値; 全国=全国,67,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,100歳以上,表章項目=人口,人口=総人口; 男女別=男女計; 概算値=概算値; 全国=全国,9,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,（再掲）15歳未満,表章項目=人口,人口=総人口; 男女別=男女計; 概算値=概算値; 全国=全国,1347,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,（再掲）15～64歳,表章項目=人口,人口=総人口; 男女別=男女計; 概算値=概算値; 全国=全国,7353,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,（再掲）65歳以上,表章項目=人口,人口=総人口; 男女別=男女計; 概算値=概算値; 全国=全国,3621,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,（再掲）うち75歳以上,表章項目=人口,人口=総人口; 男女別=男女計; 概算値=概算値; 全国=全国,2126,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,（再掲）うち85歳以上,表章項目=人口,人口=総人口; 男女別=男女計; 概算値=概算値; 全国=全国,691,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,総数,表章項目=人口,人口=総人口; 男女別=男; 概算値=概算値; 全国=全国,5995,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,0～4歳,表章項目=人口,人口=総人口; 男女別=男; 概算値=概算値; 全国=全国,195,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,5～9歳,表章項目=人口,人口=総人口; 男女別=男; 概算値=概算値; 全国=全国,233,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,10～14歳,表章項目=人口,人口=総人口; 男女別=男; 概算値=概算値; 全国=全国,263,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,15～19歳,表章項目=人口,人口=総人口; 男女別=男; 概算値=概算値; 全国=全国,281,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,20～24歳,表章項目=人口,人口=総人口; 男女別=男; 概算値=概算値; 全国=全国,321,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,25～29歳,表章項目=人口,人口=総人口; 男女別=男; 概算値=概算値; 全国=全国,338,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,30～34歳,表章項目=人口,人口=総人口; 男女別=男; 概算値=概算値; 全国=全国,332,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,35～39歳,表章項目=人口,人口=総人口; 男女別=男; 概算値=概算値; 全国=全国,344,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,40～44歳,表章項目=人口,人口=総人口; 男女別=男; 概算値=概算値; 全国=全国,380,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,45～49歳,表章項目=人口,人口=総人口; 男女別=男; 概算値=概算値; 全国=全国,428,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,50～54歳,表章項目=人口,人口=総人口; 男女別=男; 概算値=概算値; 全国=全国,495,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,55～59歳,表章項目=人口,人口=総人口; 男女別=男; 概算値=概算値; 全国=全国,432,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,60～64歳,表章項目=人口,人口=総人口; 男女別=男; 概算値=概算値; 全国=全国,385,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,65～69歳,表章項目=人口,人口=総人口; 男女別=男; 概算値=概算値; 全国=全国,350,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,70～74歳,表章項目=人口,人口=総人口; 男女別=男; 概算値=概算値; 全国=全国,367,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,75～79歳,表章項目=人口,人口=総人口; 男女別=男; 概算値=概算値; 全国=全国,379,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,80～84歳,表章項目=人口,人口=総人口; 男女別=男; 概算値=概算値; 全国=全国,248,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,85～89歳,表章項目=人口,人口=総人口; 男女別=男; 概算値=概算値; 全国=全国,147,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,90～94歳,表章項目=人口,人口=総人口; 男女別=男; 概算値=概算値; 全国=全国,63,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,95～99歳,表章項目=人口,人口=総人口; 男女別=男; 概算値=概算値; 全国=全国,14,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,100歳以上,表章項目=人口,人口=総人口; 男女別=男; 概算値=概算値; 全国=全国,1,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,（再掲）15歳未満,表章項目=人口,人口=総人口; 男女別=男; 概算値=概算値; 全国=全国,690,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,（再掲）15～64歳,表章項目=人口,人口=総人口; 男女別=男; 概算値=概算値; 全国=全国,3736,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,（再掲）65歳以上,表章項目=人口,人口=総人口; 男女別=男; 概算値=概算値; 全国=全国,1569,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,（再掲）うち75歳以上,表章項目=人口,人口=総人口; 男女別=男; 概算値=概算値; 全国=全国,852,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,（再掲）うち85歳以上,表章項目=人口,人口=総人口; 男女別=男; 概算値=概算値; 全国=全国,225,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,総数,表章項目=人口,人口=総人口; 男女別=女; 概算値=概算値; 全国=全国,6326,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,0～4歳,表章項目=人口,人口=総人口; 男女別=女; 概算値=概算値; 全国=全国,185,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,5～9歳,表章項目=人口,人口=総人口; 男女別=女; 概算値=概算値; 全国=全国,222,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,10～14歳,表章項目=人口,人口=総人口; 男女別=女; 概算値=概算値; 全国=全国,250,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,15～19歳,表章項目=人口,人口=総人口; 男女別=女; 概算値=概算値; 全国=全国,267,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,20～24歳,表章項目=人口,人口=総人口; 男女別=女; 概算値=概算値; 全国=全国,301,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,25～29歳,表章項目=人口,人口=総人口; 男女別=女; 概算値=概算値; 全国=全国,318,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,30～34歳,表章項目=人口,人口=総人口; 男女別=女; 概算値=概算値; 全国=全国,312,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,35～39歳,表章項目=人口,人口=総人口; 男女別=女; 概算値=概算値; 全国=全国,328,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,40～44歳,表章項目=人口,人口=総人口; 男女別=女; 概算値=概算値; 全国=全国,369,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,45～49歳,表章項目=人口,人口=総人口; 男女別=女; 概算値=概算値; 全国=全国,417,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,50～54歳,表章項目=人口,人口=総人口; 男女別=女; 概算値=概算値; 全国=全国,484,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,55～59歳,表章項目=人口,人口=総人口; 男女別=女; 概算値=概算値; 全国=全国,430,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,60～64歳,表章項目=人口,人口=総人口; 男女別=女; 概算値=概算値; 全国=全国,392,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,65～69歳,表章項目=人口,人口=総人口; 男女別=女; 概算値=概算値; 全国=全国,368,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,70～74歳,表章項目=人口,人口=総人口; 男女別=女; 概算値=概算値; 全国=全国,409,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,75～79歳,表章項目=人口,人口=総人口; 男女別=女; 概算値=概算値; 全国=全国,458,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,80～84歳,表章項目=人口,人口=総人口; 男女別=女; 概算値=概算値; 全国=全国,350,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,85～89歳,表章項目=人口,人口=総人口; 男女別=女; 概算値=概算値; 全国=全国,253,,2026-09-07T09:10:32Z
