series_id,stats_data_id,reference_date,source_population_definition,unit,year,sex,age,category,subcategory,value,flag,retrieved_at
pop_total_single_age_annual,0004029959,1995年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1995,,総数,男女別・性比=男女計,人口=総人口; 全国=全国,125570,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1996年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1996,,総数,男女別・性比=男女計,人口=総人口; 全国=全国,125864,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1997年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1997,,総数,男女別・性比=男女計,人口=総人口; 全国=全国,126166,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1998年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1998,,総数,男女別・性比=男女計,人口=総人口; 全国=全国,126486,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1999年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1999,,総数,男女別・性比=男女計,人口=総人口; 全国=全国,126686,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1995年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1995,,0歳,男女別・性比=男女計,人口=総人口; 全国=全国,1193,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1996年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1996,,0歳,男女別・性比=男女計,人口=総人口; 全国=全国,1195,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1997年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1997,,0歳,男女別・性比=男女計,人口=総人口; 全国=全国,1201,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1998年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1998,,0歳,男女別・性比=男女計,人口=総人口; 全国=全国,1208,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1999年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1999,,0歳,男女別・性比=男女計,人口=総人口; 全国=全国,1190,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1995年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1995,,1歳,男女別・性比=男女計,人口=総人口; 全国=全国,1202,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1996年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1996,,1歳,男女別・性比=男女計,人口=総人口; 全国=全国,1185,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1997年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1997,,1歳,男女別・性比=男女計,人口=総人口; 全国=全国,1188,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1998年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1998,,1歳,男女別・性比=男女計,人口=総人口; 全国=全国,1195,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1999年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1999,,1歳,男女別・性比=男女計,人口=総人口; 全国=全国,1200,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1995年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1995,,2歳,男女別・性比=男女計,人口=総人口; 全国=全国,1186,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1996年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1996,,2歳,男女別・性比=男女計,人口=総人口; 全国=全国,1200,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1997年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1997,,2歳,男女別・性比=男女計,人口=総人口; 全国=全国,1184,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1998年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1998,,2歳,男女別・性比=男女計,人口=総人口; 全国=全国,1187,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1999年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1999,,2歳,男女別・性比=男女計,人口=総人口; 全国=全国,1193,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1995年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1995,,3歳,男女別・性比=男女計,人口=総人口; 全国=全国,1209,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1996年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1996,,3歳,男女別・性比=男女計,人口=総人口; 全国=全国,1185,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1997年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1997,,3歳,男女別・性比=男女計,人口=総人口; 全国=全国,1199,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1998年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1998,,3歳,男女別・性比=男女計,人口=総人口; 全国=全国,1183,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1999年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1999,,3歳,男女別・性比=男女計,人口=総人口; 全国=全国,1186,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1995年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1995,,4歳,男女別・性比=男女計,人口=総人口; 全国=全国,1211,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1996年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1996,,4歳,男女別・性比=男女計,人口=総人口; 全国=全国,1208,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1997年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1997,,4歳,男女別・性比=男女計,人口=総人口; 全国=全国,1184,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1998年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1998,,4歳,男女別・性比=男女計,人口=総人口; 全国=全国,1198,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1999年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1999,,4歳,男女別・性比=男女計,人口=総人口; 全国=全国,1182,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1995年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1995,,5歳,男女別・性比=男女計,人口=総人口; 全国=全国,1232,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1996年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1996,,5歳,男女別・性比=男女計,人口=総人口; 全国=全国,1210,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1997年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1997,,5歳,男女別・性比=男女計,人口=総人口; 全国=全国,1208,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1998年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1998,,5歳,男女別・性比=男女計,人口=総人口; 全国=全国,1184,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1999年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1999,,5歳,男女別・性比=男女計,人口=総人口; 全国=全国,1197,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1995年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1995,,6歳,男女別・性比=男女計,人口=総人口; 全国=全国,1271,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1996年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1996,,6歳,男女別・性比=男女計,人口=総人口; 全国=全国,1232,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1997年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1997,,6歳,男女別・性比=男女計,人口=総人口; 全国=全国,1210,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1998年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1998,,6歳,男女別・性比=男女計,人口=総人口; 全国=全国,1208,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1999年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1999,,6歳,男女別・性比=男女計,人口=総人口; 全国=全国,1183,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1995年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1995,,7歳,男女別・性比=男女計,人口=総人口; 全国=全国,1312,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1996年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1996,,7歳,男女別・性比=男女計,人口=総人口; 全国=全国,1270,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1997年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1997,,7歳,男女別・性比=男女計,人口=総人口; 全国=全国,1232,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1998年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1998,,7歳,男女別・性比=男女計,人口=総人口; 全国=全国,1209,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1999年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1999,,7歳,男女別・性比=男女計,人口=総人口; 全国=全国,1207,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1995年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1995,,8歳,男女別・性比=男女計,人口=総人口; 全国=全国,1351,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1996年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1996,,8歳,男女別・性比=男女計,人口=総人口; 全国=全国,1312,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1997年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1997,,8歳,男女別・性比=男女計,人口=総人口; 全国=全国,1271,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1998年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1998,,8歳,男女別・性比=男女計,人口=総人口; 全国=全国,1233,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1999年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1999,,8歳,男女別・性比=男女計,人口=総人口; 全国=全国,1210,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1995年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1995,,9歳,男女別・性比=男女計,人口=総人口; 全国=全国,1380,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1996年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1996,,9歳,男女別・性比=男女計,人口=総人口; 全国=全国,1351,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1997年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1997,,9歳,男女別・性比=男女計,人口=総人口; 全国=全国,1313,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1998年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1998,,9歳,男女別・性比=男女計,人口=総人口; 全国=全国,1271,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1999年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1999,,9歳,男女別・性比=男女計,人口=総人口; 全国=全国,1233,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1995年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1995,,10歳,男女別・性比=男女計,人口=総人口; 全国=全国,1441,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1996年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1996,,10歳,男女別・性比=男女計,人口=総人口; 全国=全国,1380,,2026-09-07T09:10:21Z
