series_id,source_pdf,source_page,source_figure,year,region,sex,age_class,age_class_source,value,flag,retrieved_at
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1978,全国,総数,～19歳,～９歳|10～19歳,866,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1978,全国,総数,20～29歳,20～29歳,3741,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1978,全国,総数,30～39歳,30～39歳,3597,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1978,全国,総数,40～49歳,40～49歳,3641,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1978,全国,総数,50～59歳,50～59歳,2753,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1978,全国,総数,60歳～,60～69歳|70～79歳|80歳～,6024,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1978,全国,総数,不詳,不詳,166,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1978,全国,総数,合計,合計,20788,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1979,全国,総数,～19歳,～９歳|10～19歳,919,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1979,全国,総数,20～29歳,20～29歳,3654,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1979,全国,総数,30～39歳,30～39歳,3808,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1979,全国,総数,40～49歳,40～49歳,3796,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1979,全国,総数,50～59歳,50～59歳,2977,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1979,全国,総数,60歳～,60～69歳|70～79歳|80歳～,6163,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1979,全国,総数,不詳,不詳,186,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1979,全国,総数,合計,合計,21503,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1980,全国,総数,～19歳,～９歳|10～19歳,678,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1980,全国,総数,20～29歳,20～29歳,3261,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1980,全国,総数,30～39歳,30～39歳,3791,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1980,全国,総数,40～49歳,40～49歳,3911,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1980,全国,総数,50～59歳,50～59歳,3138,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1980,全国,総数,60歳～,60～69歳|70～79歳|80歳～,6166,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1980,全国,総数,不詳,不詳,103,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1980,全国,総数,合計,合計,21048,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1981,全国,総数,～19歳,～９歳|10～19歳,620,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1981,全国,総数,20～29歳,20～29歳,2777,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1981,全国,総数,30～39歳,30～39歳,3653,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1981,全国,総数,40～49歳,40～49歳,3996,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1981,全国,総数,50～59歳,50～59歳,3304,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1981,全国,総数,60歳～,60～69歳|70～79歳|80歳～,5985,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1981,全国,総数,不詳,不詳,99,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1981,全国,総数,合計,合計,20434,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1982,全国,総数,～19歳,～９歳|10～19歳,599,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1982,全国,総数,20～29歳,20～29歳,2832,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1982,全国,総数,30～39歳,30～39歳,3787,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1982,全国,総数,40～49歳,40～49歳,4284,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1982,全国,総数,50～59歳,50～59歳,3616,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1982,全国,総数,60歳～,60～69歳|70～79歳|80歳～,6025,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1982,全国,総数,不詳,不詳,85,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1982,全国,総数,合計,合計,21228,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1983,全国,総数,～19歳,～９歳|10～19歳,657,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1983,全国,総数,20～29歳,20～29歳,3050,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1983,全国,総数,30～39歳,30～39歳,4099,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1983,全国,総数,40～49歳,40～49歳,5460,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1983,全国,総数,50～59歳,50～59歳,4846,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1983,全国,総数,60歳～,60～69歳|70～79歳|80歳～,7004,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1983,全国,総数,不詳,不詳,86,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1983,全国,総数,合計,合計,25202,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1984,全国,総数,～19歳,～９歳|10～19歳,572,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1984,全国,総数,20～29歳,20～29歳,2737,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1984,全国,総数,30～39歳,30～39歳,3855,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1984,全国,総数,40～49歳,40～49歳,5290,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1984,全国,総数,50～59歳,50～59歳,4912,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1984,全国,総数,60歳～,60～69歳|70～79歳|80歳～,7147,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1984,全国,総数,不詳,不詳,83,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1984,全国,総数,合計,合計,24596,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1985,全国,総数,～19歳,～９歳|10～19歳,557,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1985,全国,総数,20～29歳,20～29歳,2548,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1985,全国,総数,30～39歳,30～39歳,3519,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1985,全国,総数,40～49歳,40～49歳,4936,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1985,全国,総数,50～59歳,50～59歳,4815,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1985,全国,総数,60歳～,60～69歳|70～79歳|80歳～,7143,,2026-09-07T08:43:26+00:00
